TF_count,combination,R,R_squared,RMSE,N,file
3,ATF4_ATF7_CREB1,0.7761209598630426,0.6023637443387306,0.2881145075508295,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_16_ATF4_ATF7_CREB1_rate_invert.txt
3,ATF4_ATF7_CREB3,0.6717936114835003,0.4513066564300441,0.34437886056236555,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_17_ATF4_ATF7_CREB3_rate_invert.txt
3,ATF4_ATF7_CREB5,0.6901757032177629,0.4763425013121335,0.33769697515669045,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_18_ATF4_ATF7_CREB5_rate_invert.txt
3,ATF4_ATF7_CREM,0.7285595477110306,0.5307990145609015,0.3070166031094477,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_19_ATF4_ATF7_CREM_rate_invert.txt
3,ATF4_CREB1_CREB3,0.7405532754968598,0.5484191538491279,0.3028434919315007,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_20_ATF4_CREB1_CREB3_rate_invert.txt
3,ATF4_CREB1_CREB5,0.7537564050350936,0.568148718131428,0.3013409391009941,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_21_ATF4_CREB1_CREB5_rate_invert.txt
3,ATF4_CREB1_CREM,0.8260926849626958,0.6824291241488758,0.2523110023072214,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_22_ATF4_CREB1_CREM_rate_invert.txt
3,ATF4_CREB3_CREB5,0.6777199259238569,0.45930429799423805,0.3415271335582225,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_23_ATF4_CREB3_CREB5_rate_invert.txt
3,ATF4_CREB3_CREM,0.7419370225953075,0.5504705454975898,0.30268241474153035,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_24_ATF4_CREB3_CREM_rate_invert.txt
3,ATF4_CREB5_CREM,0.6856486791237045,0.47011411118408075,0.33040482770509755,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-off\3TF\CRE_3TF_selfoff_singlehit_fullanneal_comb_25_ATF4_CREB5_CREM_rate_invert.txt
