TF_count,fit_level,combination,R,R_squared,RMSE,N,file
3,medium,CREB3-CREM-ATF4,0.8030025987384057,0.6448131735806331,0.2612458004724969,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREM-ATF4_medium_seed830021_rate_invert.txt
3,medium,CREB3-CREM-ATF7,0.8026113743352897,0.6441850182123826,0.2690932245752748,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB3-CREM-ATF7_medium_seed830022_rate_invert.txt
3,medium,CREB5-ATF1-ATF4,0.6702539888970275,0.4492404096323766,0.34355838036836733,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB5-ATF1-ATF4_medium_seed830029_rate_invert.txt
3,medium,CREB5-ATF1-ATF7,0.7474122065952818,0.5586250065676283,0.3081619220379225,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB5-ATF1-ATF7_medium_seed830030_rate_invert.txt
3,medium,CREB5-ATF4-ATF7,0.7891851004311361,0.6228131227425023,0.2624443577245288,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB5-ATF4-ATF7_medium_seed830031_rate_invert.txt
3,medium,CREB5-CREM-ATF1,0.7583815340466918,0.5751425511830136,0.3031469976387149,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB5-CREM-ATF1_medium_seed830026_rate_invert.txt
3,medium,CREB5-CREM-ATF4,0.7816280412745781,0.6109423949067335,0.26743346951032,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB5-CREM-ATF4_medium_seed830027_rate_invert.txt
3,medium,CREB5-CREM-ATF7,0.8008595092762938,0.641375953598266,0.2760788955293219,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREB5-CREM-ATF7_medium_seed830028_rate_invert.txt
3,medium,CREM-ATF1-ATF4,0.7765407708122495,0.6030155687336826,0.29529873338440554,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREM-ATF1-ATF4_medium_seed830032_rate_invert.txt
3,medium,CREM-ATF1-ATF7,0.7768847079339061,0.6035498494215505,0.2858164623296042,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREM-ATF1-ATF7_medium_seed830033_rate_invert.txt
3,medium,CREM-ATF4-ATF7,0.7757314219138002,0.6017592389444063,0.28520936351741416,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\Fig3D_unfold_rates\3TF_medium\friend_3TF_CREM-ATF4-ATF7_medium_seed830034_rate_invert.txt
